construction,floor_area,ach_heating,ach_cooling
tight,0,0.21,0.11
tight,901,0.16,0.08
tight,1501,0.14,0.07
tight,2001,0.11,0.06
tight,3000,0.1,0.05
semi-tight,0,0.41,0.22
semi-tight,901,0.31,0.16
semi-tight,1501,0.26,0.14
semi-tight,2001,0.22,0.11
semi-tight,3000,0.19,0.1
average,0,0.61,0.32
average,901,0.45,0.23
average,1501,0.38,0.2
average,2001,0.32,0.16
average,3000,0.28,0.15
semi-loose,0,0.95,0.5
semi-loose,901,0.7,0.36
semi-loose,1501,0.59,0.31
semi-loose,2001,0.49,0.25
semi-loose,3000,0.43,0.23
loose,0,1.29,0.67
loose,901,0.94,0.49
loose,1501,0.8,0.42
loose,2001,0.66,0.34
loose,3000,0.58,0.3
