glass_type,shade,num_panes_thick,direction,ctd,htm
c,none,1,N,10,24
c,none,1,N,15,29
c,none,1,N,20,34
c,none,1,N,25,39
c,none,1,N,30,44
c,none,1,N,35,49
c,none,1,NE_or_NW,10,56
c,none,1,NE_or_NW,15,61
c,none,1,NE_or_NW,20,66
c,none,1,NE_or_NW,25,70
c,none,1,NE_or_NW,30,75
c,none,1,NE_or_NW,35,80
c,none,1,E_or_W,10,80
c,none,1,E_or_W,15,84
c,none,1,E_or_W,20,89
c,none,1,E_or_W,25,94
c,none,1,E_or_W,30,99
c,none,1,E_or_W,35,104
c,none,1,SE_or_SW,10,68
c,none,1,SE_or_SW,15,73
c,none,1,SE_or_SW,20,78
c,none,1,SE_or_SW,25,83
c,none,1,SE_or_SW,30,88
c,none,1,SE_or_SW,35,93
c,none,1,S,10,40
c,none,1,S,15,45
c,none,1,S,20,50
c,none,1,S,25,55
c,none,1,S,30,60
c,none,1,S,35,65
c,none,2,N,10,18
c,none,2,N,15,21
c,none,2,N,20,24
c,none,2,N,25,27
c,none,2,N,30,29
c,none,2,N,35,32
c,none,2,NE_or_NW,10,46
c,none,2,NE_or_NW,15,49
c,none,2,NE_or_NW,20,52
c,none,2,NE_or_NW,25,55
c,none,2,NE_or_NW,30,57
c,none,2,NE_or_NW,35,60
c,none,2,E_or_W,10,67
c,none,2,E_or_W,15,70
c,none,2,E_or_W,20,73
c,none,2,E_or_W,25,76
c,none,2,E_or_W,30,78
c,none,2,E_or_W,35,81
c,none,2,SE_or_SW,10,57
c,none,2,SE_or_SW,15,60
c,none,2,SE_or_SW,20,63
c,none,2,SE_or_SW,25,65
c,none,2,SE_or_SW,30,68
c,none,2,SE_or_SW,35,71
c,none,2,S,10,32
c,none,2,S,15,35
c,none,2,S,20,38
c,none,2,S,25,41
c,none,2,S,30,44
c,none,2,S,35,46
c,blinds,2,N,10,11
c,blinds,2,N,15,13
c,blinds,2,N,20,16
c,blinds,2,N,25,19
c,blinds,2,N,30,22
c,blinds,2,N,35,25
c,blinds,2,NE_or_NW,10,27
c,blinds,2,NE_or_NW,15,30
c,blinds,2,NE_or_NW,20,33
c,blinds,2,NE_or_NW,25,36
c,blinds,2,NE_or_NW,30,38
c,blinds,2,NE_or_NW,35,41
c,blinds,2,E_or_W,10,40
c,blinds,2,E_or_W,15,43
c,blinds,2,E_or_W,20,46
c,blinds,2,E_or_W,25,49
c,blinds,2,E_or_W,30,51
c,blinds,2,E_or_W,35,54
c,blinds,2,SE_or_SW,10,34
c,blinds,2,SE_or_SW,15,37
c,blinds,2,SE_or_SW,20,40
c,blinds,2,SE_or_SW,25,42
c,blinds,2,SE_or_SW,30,45
c,blinds,2,SE_or_SW,35,48
c,blinds,2,S,10,18
c,blinds,2,S,15,21
c,blinds,2,S,20,24
c,blinds,2,S,25,27
c,blinds,2,S,30,29
c,blinds,2,S,35,32
