construction_number,oat,floor_area,bhlf
7A-AE,-10,1000,0.117
7A-AE,-10,1500,0.134
7A-AE,-10,2000,0.164
7A-AE,-10,2500,0.169
7A-AE,-10,3000,0.186
7A-AE,0,1000,0.104
7A-AE,0,1500,0.121
7A-AE,0,2000,0.144
7A-AE,0,2500,0.159
7A-AE,0,3000,0.17
7A-AE,10,1000,0.092
7A-AE,10,1500,0.111
7A-AE,10,2000,0.122
7A-AE,10,2500,0.13
7A-AE,10,3000,0.149
7A-AE,20,1000,0.083
7A-AE,20,1500,0.1
7A-AE,20,2000,0.113
7A-AE,20,2500,0.126
7A-AE,20,3000,0.135
7A-AE,30,1000,0.071
7A-AE,30,1500,0.085
7A-AE,30,2000,0.09
7A-AE,30,2500,0.104
7A-AE,30,3000,0.118
7A-AE,40,1000,0.069
7A-AE,40,1500,0.07
7A-AE,40,2000,0.082
7A-AE,40,2500,0.09
7A-AE,40,3000,0.099
7D-AE,-10,1000,0.081
7D-AE,-10,1500,0.098
7D-AE,-10,2000,0.114
7D-AE,-10,2500,0.128
7D-AE,-10,3000,0.147
7D-AE,0,1000,0.078
7D-AE,0,1500,0.09
7D-AE,0,2000,0.107
7D-AE,0,2500,0.115
7D-AE,0,3000,0.132
7D-AE,10,1000,0.075
7D-AE,10,1500,0.087
7D-AE,10,2000,0.1
7D-AE,10,2500,0.109
7D-AE,10,3000,0.125
7D-AE,20,1000,0.071
7D-AE,20,1500,0.081
7D-AE,20,2000,0.093
7D-AE,20,2500,0.102
7D-AE,20,3000,0.112
7D-AE,30,1000,0.066
7D-AE,30,1500,0.08
7D-AE,30,2000,0.086
7D-AE,30,2500,0.096
7D-AE,30,3000,0.106
7D-AE,40,1000,0.061
7D-AE,40,1500,0.074
7D-AE,40,2000,0.085
7D-AE,40,2500,0.093
7D-AE,40,3000,0.105
7N,-10,1000,0.078
7N,-10,1500,0.086
7N,-10,2000,0.095
7N,-10,2500,0.104
7N,-10,3000,0.112
7N,0,1000,0.077
7N,0,1500,0.084
7N,0,2000,0.094
7N,0,2500,0.101
7N,0,3000,0.11
7N,10,1000,0.077
7N,10,1500,0.085
7N,10,2000,0.093
7N,10,2500,0.1
7N,10,3000,0.107
7N,20,1000,0.081
7N,20,1500,0.087
7N,20,2000,0.096
7N,20,2500,0.103
7N,20,3000,0.111
7N,30,1000,0.081
7N,30,1500,0.09
7N,30,2000,0.098
7N,30,2500,0.105
7N,30,3000,0.116
7N,40,1000,0.089
7N,40,1500,0.094
7N,40,2000,0.103
7N,40,2500,0.113
7N,40,3000,0.121
