construction_number,grains,floor_area,blg
7A-AE,10,1000,77
7A-AE,10,1500,126
7A-AE,10,2000,172
7A-AE,10,2500,217
7A-AE,10,3000,261
7A-AE,20,1000,113
7A-AE,20,1500,185
7A-AE,20,2000,251
7A-AE,20,2500,317
7A-AE,20,3000,382
7A-AE,30,1000,150
7A-AE,30,1500,246
7A-AE,30,2000,334
7A-AE,30,2500,422
7A-AE,30,3000,507
7A-AE,40,1000,189
7A-AE,40,1500,309
7A-AE,40,2000,419
7A-AE,40,2500,530
7A-AE,40,3000,637
7A-AE,50,1000,229
7A-AE,50,1500,374
7A-AE,50,2000,508
7A-AE,50,2500,641
7A-AE,50,3000,772
7A-AE,60,1000,270
7A-AE,60,1500,441
7A-AE,60,2000,599
7A-AE,60,2500,757
7A-AE,60,3000,911
7A-AE,70,1000,312
7A-AE,70,1500,511
7A-AE,70,2000,694
7A-AE,70,2500,867
7A-AE,70,3000,1055
7D-AE,10,1000,182
7D-AE,10,1500,270
7D-AE,10,2000,345
7D-AE,10,2500,418
7D-AE,10,3000,466
7D-AE,20,1000,275
7D-AE,20,1500,408
7D-AE,20,2000,521
7D-AE,20,2500,631
7D-AE,20,3000,703
7D-AE,30,1000,372
7D-AE,30,1500,552
7D-AE,30,2000,705
7D-AE,30,2500,854
7D-AE,30,3000,951
7D-AE,40,1000,473
7D-AE,40,1500,702
7D-AE,40,2000,897
7D-AE,40,2500,1086
7D-AE,40,3000,1210
7D-AE,50,1000,579
7D-AE,50,1500,859
7D-AE,50,2000,1097
7D-AE,50,2500,1329
7D-AE,50,3000,1480
7D-AE,60,1000,689
7D-AE,60,1500,1022
7D-AE,60,2000,1306
7D-AE,60,2500,1581
7D-AE,60,3000,1761
7D-AE,70,1000,803
7D-AE,70,1500,1191
7D-AE,70,2000,1522
7D-AE,70,2500,1843
7D-AE,70,3000,2053
7N,10,1000,57
7N,10,1500,77
7N,10,2000,106
7N,10,2500,126
7N,10,3000,141
7N,20,1000,71
7N,20,1500,90
7N,20,2000,122
7N,20,2500,145
7N,20,3000,164
7N,30,1000,82
7N,30,1500,102
7N,30,2000,138
7N,30,2500,163
7N,30,3000,187
7N,40,1000,93
7N,40,1500,115
7N,40,2000,154
7N,40,2500,180
7N,40,3000,210
7N,50,1000,104
7N,50,1500,127
7N,50,2000,170
7N,50,2500,214
7N,50,3000,233
7N,60,1000,115
7N,60,1500,140
7N,60,2000,186
7N,60,2500,237
7N,60,3000,257
7N,70,1000,126
7N,70,1500,152
7N,70,2000,203
7N,70,2500,258
7N,70,3000,280
