construction_number,oat,floor_area,bsgf
7A-AE,85,1000,0.109
7A-AE,85,1500,0.131
7A-AE,85,2000,0.154
7A-AE,85,2500,0.17
7A-AE,85,3000,189
7A-AE,90,1000,0.11
7A-AE,90,1500,0.139
7A-AE,90,2000,0.151
7A-AE,90,2500,0.175
7A-AE,90,3000,0.19
7A-AE,95,1000,0.124
7A-AE,95,1500,0.149
7A-AE,95,2000,0.162
7A-AE,95,2500,0.176
7A-AE,95,3000,0.211
7A-AE,100,1000,0.126
7A-AE,100,1500,0.154
7A-AE,100,2000,0.172
7A-AE,100,2500,0.189
7A-AE,100,3000,0.205
7A-AE,105,1000,0.136
7A-AE,105,1500,0.159
7A-AE,105,2000,0.175
7A-AE,105,2500,0.211
7A-AE,105,3000,0.241
7D-AE,85,1000,0.048
7D-AE,85,1500,0.058
7D-AE,85,2000,0.067
7D-AE,85,2500,0.064
7D-AE,85,3000,0.081
7D-AE,90,1000,0.049
7D-AE,90,1500,0.059
7D-AE,90,2000,0.067
7D-AE,90,2500,0.068
7D-AE,90,3000,0.081
7D-AE,95,1000,0.05
7D-AE,95,1500,0.059
7D-AE,95,2000,0.067
7D-AE,95,2500,0.069
7D-AE,95,3000,0.081
7D-AE,100,1000,0.052
7D-AE,100,1500,0.059
7D-AE,100,2000,0.068
7D-AE,100,2500,0.072
7D-AE,100,3000,0.084
7D-AE,105,1000,0.054
7D-AE,105,1500,0.059
7D-AE,105,2000,0.069
7D-AE,105,2500,0.075
7D-AE,105,3000,0.087
7N,85,1000,0.042
7N,85,1500,0.048
7N,85,2000,0.055
7N,85,2500,0.068
7N,85,3000,0.074
7N,90,1000,0.04
7N,90,1500,0.05
7N,90,2000,0.052
7N,90,2500,0.056
7N,90,3000,0.064
7N,95,1000,0.044
7N,95,1500,0.044
7N,95,2000,0.053
7N,95,2500,0.059
7N,95,3000,0.064
7N,100,1000,0.037
7N,100,1500,0.044
7N,100,2000,0.054
7N,100,2500,0.061
7N,100,3000,0.066
7N,105,1000,0.035
7N,105,1500,0.046
7N,105,2000,0.053
7N,105,2500,0.057
7N,105,3000,0.062
