construction_number,leakage,rval,heat_loss_correction,sensible_correction,latent_correction
7A-AE,0.06/0.06,2,0.88,0.85,0.3
7A-AE,0.09/0.15,2,0.94,0.94,0.64
7A-AE,0.12/0.24,2,1,1,1
7A-AE,0.24/0.47,2,1.26,1.29,2.58
7A-AE,0.35/0.70,2,1.65,1.6,4.42
7A-AE,0.06/0.06,4,0.82,0.79,0.3
7A-AE,0.09/0.15,4,0.91,0.89,0.64
7A-AE,0.12/0.24,4,1,1,1
7A-AE,0.24/0.47,4,1.37,1.39,2.58
7A-AE,0.35/0.70,4,1.8,1.83,4.42
7A-AE,0.06/0.06,6,0.76,0.73,0.3
7A-AE,0.09/0.15,6,0.87,0.85,0.64
7A-AE,0.12/0.24,6,1,1,1
7A-AE,0.24/0.47,6,1.43,1.58,2.58
7A-AE,0.35/0.70,6,1.97,2.11,4.42
7A-AE,0.06/0.06,8,0.74,0.73,0.3
7A-AE,0.09/0.15,8,0.88,0.86,0.64
7A-AE,0.12/0.24,8,1,1,1
7A-AE,0.24/0.47,8,1.53,1.67,2.58
7A-AE,0.35/0.70,8,2.19,2.34,4.42
7D-AE,0.06/0.06,2,0.076,0.8,0.32
7D-AE,0.09/0.15,2,0.086,0.89,0.65
7D-AE,0.12/0.24,2,1,1,1
7D-AE,0.24/0.47,2,1.65,1.65,2.53
7D-AE,0.35/0.70,2,2.52,2.42,4.33
7D-AE,0.06/0.06,4,0.71,0.71,0.32
7D-AE,0.09/0.15,4,0.84,0.86,0.65
7D-AE,0.12/0.24,4,1,1,1
7D-AE,0.24/0.47,4,1.94,1.79,2.53
7D-AE,0.35/0.70,4,2.99,2.75,4.33
7D-AE,0.06/0.06,6,0.66,0.67,0.32
7D-AE,0.09/0.15,6,0.82,0.82,0.65
7D-AE,0.12/0.24,6,1,1,1
7D-AE,0.24/0.47,6,2.07,1.89,2.53
7D-AE,0.35/0.70,6,3.31,2.97,4.33
7D-AE,0.06/0.06,8,0.6,0.63,0.32
7D-AE,0.09/0.15,8,0.79,0.8,0.65
7D-AE,0.12/0.24,8,1,1,1
7D-AE,0.24/0.47,8,2.19,1.97,2.53
7D-AE,0.35/0.70,8,3.57,3.11,4.33
7N,0.06/0.06,2,0.076,0.86,0.43
7N,0.09/0.15,2,0.082,0.93,0.72
7N,0.12/0.24,2,1,1,1
7N,0.24/0.47,2,1.17,1.38,2.06
7N,0.35/0.70,2,1.48,1.71,3.29
7N,0.06/0.06,4,0.8,0.79,0.43
7N,0.09/0.15,4,0.9,0.89,0.72
7N,0.12/0.24,4,1,1,1
7N,0.24/0.47,4,1.37,1.37,2.06
7N,0.35/0.70,4,1.87,1.92,3.29
7N,0.06/0.06,6,0.74,0.75,0.43
7N,0.09/0.15,6,0.86,0.87,0.72
7N,0.12/0.24,6,1,1,1
7N,0.24/0.47,6,1.51,1.45,2.06
7N,0.35/0.70,6,2.09,2.1,3.29
7N,0.06/0.06,8,0.73,0.72,0.43
7N,0.09/0.15,8,0.86,0.86,0.72
7N,0.12/0.24,8,1,1,1
7N,0.24/0.47,8,1.6,1.52,2.06
7N,0.35/0.70,8,2.28,2.26,3.29
