construction_number,htd,ptdh
19A-11p,20,14.1
19A-11p,25,17.7
19A-11p,30,21.2
19A-11p,35,24.8
19A-11p,40,28.3
19A-11p,45,31.8
19A-11p,50,35.4
19A-11p,55,38.9
19A-11p,60,42.4
19A-11p,65,46
19A-11p,70,49.5
19A-11p,75,53.1
19A-11p,80,56.6
19A-11p,85,60.1
19A-11p,90,63.7
19A-11p,95,67.2
19A-11r,20,30.7
19A-11r,25,34.1
19A-11r,30,37.5
19A-11r,35,40.9
19A-11r,40,44.3
19A-11r,45,47.7
19A-11r,50,51.1
19A-11r,55,54.5
19A-11r,60,57.9
19A-11r,65,61.3
19A-11r,70,64.7
19A-11r,75,68.1
19A-11r,80,71.5
19A-11r,85,74.9
19A-11r,90,78.4
19A-11r,95,81.8
