construction_number,u_val,group_num
11A,0.47,TSW-11
11B,0.3,TSW-11
11C,0.32,TSW-11
11D,0.39,TSW-11
11E,0.26,TSW-11
11F,0.28,TSW-11
11G,0.54,TSW-11
11H,0.32,TSW-11
11I,0.36,TSW-11
11J,0.6,TSW-11
11K,0.36,TSW-11
11L,0.56,TSW-11
11M,0.34,TSW-11
11N,0.35,TSW-11
11O,0.21,TSW-11
11P,0.29,TSW-11
11Q,0.17,TSW-11
16B-0,0.408,TSW-16B
16B-7,0.112,TSW-16B
16B-11,0.081,TSW-16B
16B-13,0.07,TSW-16B
16B-15,0.061,TSW-16B
16B-19,0.049,TSW-16B
16B-21,0.044,TSW-16B
16B-25,0.038,TSW-16B
16B-28,0.034,TSW-16B
16B-30,0.032,TSW-16B
16B-38,0.026,TSW-16B
16B-44,0.022,TSW-16B
16B-50,0.02,TSW-16B
16B-56,0.018,TSW-16B
18A-19,0.051,TSW-18A-19
18A-21,0.047,TSW-18A-19
19A-11p-heat,0.073,
19A-11r-heat,0.083,
19A-11p-cool,0.073,TSW-19A-11
19A-11r-cool,0.073,TSW-19A-11
22A-ph,1.358,TSW-22
12A-0bw,0.253,E
12A-0bm,0.315,E
12A-0sw,0.24,A
12A-0sm,0.295,A
12A-2bw,0.194,E
12A-2bm,0.23,E
12A-2sw,0.186,A
12A-2sm,0.219,A
12A-3bw,0.162,F
12A-3bm,0.187,F
12A-3sw,0.157,B
12A-3sm,0.18,B
12A-4bw,0.139,F
12A-4bm,0.157,F
12A-4sw,0.135,B
12A-4sm,0.152,B
12A-5bw,0.122,G
12A-5bm,0.136,G
12A-5sw,0.119,C
12A-5sm,0.132,C
12A-6bw,0.109,G
12A-6bm,0.12,G
12A-6sw,0.106,C
12A-6sm,0.117,C
12B-0bw,0.097,H
12B-0bm,0.122,H
12B-0sw,0.097,B
12B-0sm,0.122,B
12B-2bw,0.086,I
12B-2bm,0.106,I
12B-2sw,0.086,C
12B-2sm,0.106,C
12B-3bw,0.079,J
12B-3bm,0.096,J
12B-3sw,0.079,D
12B-3sm,0.096,D
12B-4bw,0.073,J
12B-4bm,0.088,J
12B-4sw,0.073,D
12B-4sm,0.088,D
12B-5bw,0.068,K
12B-5bm,0.081,K
12B-5sw,0.068,E
12B-5sm,0.081,E
12B-6bw,0.067,K
12B-6bm,0.075,K
12B-6sw,0.064,F
12B-6sm,0.075,F
12C-0bw,0.091,I
12C-0bm,0.115,I
12C-0sw,0.091,C
12C-0sm,0.115,C
12C-2bw,0.081,J
12C-2bm,0.101,J
12C-2sw,0.081,D
12C-2sm,0.101,D
12C-3bw,0.075,K
12C-3bm,0.092,K
12C-3sw,0.075,E
12C-3sm,0.092,E
12C-4bw,0.069,K
12C-4bm,0.084,K
12C-4sw,0.069,E
12C-4sm,0.084,E
12C-5bw,0.064,K
12C-5bm,0.078,K
12C-5sw,0.064,F
12C-5sm,0.078,F
12C-6bw,0.06,K
12C-6bm,0.072,K
12C-6sw,0.06,G
12C-6sm,0.072,G
12D-0bw,0.086,I
12D-0bm,0.109,I
12D-0sw,0.086,D
12D-0sm,0.109,D
12D-2bw,0.077,J
12D-2bm,0.097,J
12D-2sw,0.077,D
12D-2sm,0.097,D
12D-3bw,0.071,K
12D-3bm,0.088,K
12D-3sw,0.071,F
12D-3sm,0.088,F
12D-4bw,0.066,K
12D-4bm,0.081,K
12D-4sw,0.066,G
12D-4sm,0.081,G
12D-5bw,0.062,K
12D-5bm,0.075,K
12D-5sw,0.062,H
12D-5sm,0.075,H
12D-6bw,0.058,K
12D-6bm,0.07,K
12D-6sw,0.058,H
12D-6sm,0.07,H
12E-0bw,9999,J
12E-0bm,9999,J
12E-0sw,9999,E
12E-0sm,9999,E
12E-2bw,9999,K
12E-2bm,9999,K
12E-2sw,9999,F
12E-2sm,9999,F
12E-3bw,9999,K
12E-3bm,9999,K
12E-3sw,9999,G
12E-3sm,9999,G
12E-4bw,9999,K
12E-4bm,9999,K
12E-4sw,9999,H
12E-4sm,9999,H
12E-5bw,9999,K
12E-5bm,9999,K
12E-5sw,9999,H
12E-5sm,9999,H
12E-6bw,9999,K
12E-6bm,9999,K
12E-6sw,9999,I
12E-6sm,9999,I
12F-0bw,9999,K
12F-0bm,9999,K
12F-0sw,9999,F
12F-0sm,9999,F
12F-2bw,9999,K
12F-2bm,9999,K
12F-2sw,9999,G
12F-2sm,9999,G
12F-3bw,9999,K
12F-3bm,9999,K
12F-3sw,9999,H
12F-3sm,9999,H
12F-4bw,9999,K
12F-4bm,9999,K
12F-4sw,9999,H
12F-4sm,9999,H
12F-5bw,9999,K
12F-5bm,9999,K
12F-5sw,9999,I
12F-5sm,9999,I
12F-6bw,9999,K
12F-6bm,9999,K
12F-6sw,9999,J
12F-6sm,9999,J
