name,outdoor_dry_bulb_temp,entering_wet_bulb_temp,total_air_flow,total_cool_cap,entering_dry_bulb_temp,sensible_total_ratio
model 25,95.0,63.0,1050,34400,76,0.76
model 25,95.0,63.0,1050,34400,80,0.89
model 25,95.0,63.0,1050,34400,84,0.99
model 25,95.0,63.0,1200,35400,76,0.80
model 25,95.0,63.0,1200,35400,80,0.93
model 25,95.0,63.0,1200,35400,84,1.00
model 25,95.0,63.0,1350,36400,76,0.84
model 25,95.0,63.0,1350,36400,80,0.97
model 25,95.0,63.0,1350,36400,84,1.00
model 30,95.0,63.0,1200,39700,76,0.75
model 30,95.0,63.0,1200,39700,80,0.88
model 30,95.0,63.0,1200,39700,84,0.98
model 30,95.0,63.0,1325,40700,76,0.78
model 30,95.0,63.0,1325,40700,80,0.91
model 30,95.0,63.0,1325,40700,84,1.00
model 30,95.0,63.0,1575,41500,76,0.80
model 30,95.0,63.0,1575,41500,80,0.94
model 30,95.0,63.0,1575,41500,84,1.00
model 50,95.0,63.0,1400,45400,76,0.77
model 50,95.0,63.0,1400,45400,80,0.90
model 50,95.0,63.0,1400,45400,84,1.00
model 50,95.0,63.0,1600,46800,76,0.81
model 50,95.0,63.0,1600,46800,80,0.95
model 50,95.0,63.0,1600,46800,84,1.00
model 50,95.0,63.0,1800,48100,76,0.85
model 50,95.0,63.0,1800,48100,80,0.98
model 50,95.0,63.0,1800,48100,84,1.00
ac-36   ,95.0,63.0,1600,34200,76,0.9064
ac-36   ,95.0,63.0,1600,34200,80,0.9708
ac-36   ,95.0,63.0,1600,34200,84,1.00
